preparing full model training {}
drone_nominal {'delay_s': 0.0, 'windows': 81}
drone_residual {'update': 65, 'best_loss': 1.9645155429562229, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 66, 'best_loss': 1.9627112745581725, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 67, 'best_loss': 1.9627112745581725, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 68, 'best_loss': 1.9627112745581725, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 69, 'best_loss': 1.9627112745581725, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 70, 'best_loss': 1.9627112745581725, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 71, 'best_loss': 1.960976840281094, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 72, 'best_loss': 1.960976840281094, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 73, 'best_loss': 1.960976840281094, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 74, 'best_loss': 1.960976840281094, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 75, 'best_loss': 1.960976840281094, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 76, 'best_loss': 1.9592997516989454, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 77, 'best_loss': 1.9592997516989454, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 78, 'best_loss': 1.9592997516989454, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 79, 'best_loss': 1.9592997516989454, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 80, 'best_loss': 1.9592997516989454, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 81, 'best_loss': 1.9576698702130073, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 82, 'best_loss': 1.9576698702130073, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 83, 'best_loss': 1.9576698702130073, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 84, 'best_loss': 1.9576698702130073, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 85, 'best_loss': 1.9576698702130073, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 86, 'best_loss': 1.9560928446737995, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 87, 'best_loss': 1.9560928446737995, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 88, 'best_loss': 1.9560928446737995, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 89, 'best_loss': 1.9560928446737995, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 90, 'best_loss': 1.9560928446737995, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 91, 'best_loss': 1.9545554768451456, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 92, 'best_loss': 1.9545554768451456, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 93, 'best_loss': 1.9545554768451456, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 94, 'best_loss': 1.9545554768451456, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 95, 'best_loss': 1.9545554768451456, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 96, 'best_loss': 1.953054350678077, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 97, 'best_loss': 1.953054350678077, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 98, 'best_loss': 1.953054350678077, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 99, 'best_loss': 1.953054350678077, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 100, 'best_loss': 1.953054350678077, 'stopping': 'practical plateau; no update ceiling'}
