Evaluating frozen parent before any update {}
combined validation M0
[W914 21:33:23.000000000 Context.cpp:448] Warning: torch.backends.cuda.preferred_linalg_library is an experimental feature. If you see any error or unexpected behavior when this flag is set please file an issue on GitHub. (function operator ())
preparing full model training {}
drone_nominal {'delay_s': 0.0, 'windows': 80}
drone_residual {'update': 46, 'best_loss': 3.425175814901677, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 47, 'best_loss': 3.425175814901677, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 48, 'best_loss': 3.425175814901677, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 49, 'best_loss': 3.425175814901677, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 50, 'best_loss': 3.425175814901677, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 51, 'best_loss': 3.399978589677133, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 52, 'best_loss': 3.399978589677133, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 53, 'best_loss': 3.399978589677133, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 54, 'best_loss': 3.399978589677133, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 55, 'best_loss': 3.399978589677133, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 56, 'best_loss': 3.3785964166657294, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 57, 'best_loss': 3.3785964166657294, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 58, 'best_loss': 3.3785964166657294, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 59, 'best_loss': 3.3785964166657294, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 60, 'best_loss': 3.3785964166657294, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 61, 'best_loss': 3.3603139635024943, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 62, 'best_loss': 3.3603139635024943, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 63, 'best_loss': 3.3603139635024943, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 64, 'best_loss': 3.3603139635024943, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 65, 'best_loss': 3.3603139635024943, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 66, 'best_loss': 3.3442672622819125, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 67, 'best_loss': 3.3442672622819125, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 68, 'best_loss': 3.3442672622819125, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 69, 'best_loss': 3.3442672622819125, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 70, 'best_loss': 3.3442672622819125, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 71, 'best_loss': 3.3296453373810797, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 72, 'best_loss': 3.3296453373810797, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 73, 'best_loss': 3.3296453373810797, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 74, 'best_loss': 3.3296453373810797, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 75, 'best_loss': 3.3296453373810797, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 76, 'best_loss': 3.315937820937047, 'stopping': 'practical plateau; no update ceiling'}
