preparing full model training {}
drone_nominal {'delay_s': 0.0, 'windows': 72}
drone_residual {'update': 27, 'best_loss': 5.639109253756535, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 28, 'best_loss': 5.639109253756535, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 29, 'best_loss': 5.639109253756535, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 30, 'best_loss': 5.639109253756535, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 31, 'best_loss': 5.55842719076565, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 32, 'best_loss': 5.55842719076565, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 33, 'best_loss': 5.55842719076565, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 34, 'best_loss': 5.55842719076565, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 35, 'best_loss': 5.55842719076565, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 36, 'best_loss': 5.487999100368274, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 37, 'best_loss': 5.487999100368274, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 38, 'best_loss': 5.487999100368274, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 39, 'best_loss': 5.487999100368274, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 40, 'best_loss': 5.487999100368274, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 41, 'best_loss': 5.430558482937892, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 42, 'best_loss': 5.430558482937892, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 43, 'best_loss': 5.430558482937892, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 44, 'best_loss': 5.430558482937892, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 45, 'best_loss': 5.430558482937892, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 46, 'best_loss': 5.382610864086721, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 47, 'best_loss': 5.382610864086721, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 48, 'best_loss': 5.382610864086721, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 49, 'best_loss': 5.382610864086721, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 50, 'best_loss': 5.382610864086721, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 51, 'best_loss': 5.338145630059023, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 52, 'best_loss': 5.338145630059023, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 53, 'best_loss': 5.338145630059023, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 54, 'best_loss': 5.338145630059023, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 55, 'best_loss': 5.338145630059023, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 56, 'best_loss': 5.297431382591471, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 57, 'best_loss': 5.297431382591471, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 58, 'best_loss': 5.297431382591471, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 59, 'best_loss': 5.297431382591471, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 60, 'best_loss': 5.297431382591471, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 61, 'best_loss': 5.260666094551148, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 62, 'best_loss': 5.260666094551148, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 63, 'best_loss': 5.260666094551148, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 64, 'best_loss': 5.260666094551148, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 65, 'best_loss': 5.260666094551148, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 66, 'best_loss': 5.227018660089747, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 67, 'best_loss': 5.227018660089747, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 68, 'best_loss': 5.227018660089747, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 69, 'best_loss': 5.227018660089747, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 70, 'best_loss': 5.227018660089747, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 71, 'best_loss': 5.195716250476269, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 72, 'best_loss': 5.195716250476269, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 73, 'best_loss': 5.195716250476269, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 74, 'best_loss': 5.195716250476269, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 75, 'best_loss': 5.195716250476269, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 76, 'best_loss': 5.166328902665392, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 77, 'best_loss': 5.166328902665392, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 78, 'best_loss': 5.166328902665392, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 79, 'best_loss': 5.166328902665392, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 80, 'best_loss': 5.166328902665392, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 81, 'best_loss': 5.1386511049366055, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 82, 'best_loss': 5.1386511049366055, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 83, 'best_loss': 5.1386511049366055, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 84, 'best_loss': 5.1386511049366055, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 85, 'best_loss': 5.1386511049366055, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 86, 'best_loss': 5.112620394103212, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 87, 'best_loss': 5.112620394103212, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 88, 'best_loss': 5.112620394103212, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 89, 'best_loss': 5.112620394103212, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 90, 'best_loss': 5.112620394103212, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 91, 'best_loss': 5.088129963841819, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 92, 'best_loss': 5.088129963841819, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 93, 'best_loss': 5.088129963841819, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 94, 'best_loss': 5.088129963841819, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 95, 'best_loss': 5.088129963841819, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 96, 'best_loss': 5.065073697659924, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 97, 'best_loss': 5.065073697659924, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 98, 'best_loss': 5.065073697659924, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 99, 'best_loss': 5.065073697659924, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 100, 'best_loss': 5.065073697659924, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 101, 'best_loss': 5.04342276842787, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 102, 'best_loss': 5.04342276842787, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 103, 'best_loss': 5.04342276842787, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 104, 'best_loss': 5.04342276842787, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 105, 'best_loss': 5.04342276842787, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 106, 'best_loss': 5.023120824897938, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 107, 'best_loss': 5.023120824897938, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 108, 'best_loss': 5.023120824897938, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 109, 'best_loss': 5.023120824897938, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 110, 'best_loss': 5.023120824897938, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 111, 'best_loss': 5.004117810600373, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 112, 'best_loss': 5.004117810600373, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 113, 'best_loss': 5.004117810600373, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 114, 'best_loss': 5.004117810600373, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 115, 'best_loss': 5.004117810600373, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 116, 'best_loss': 4.986375198703097, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 117, 'best_loss': 4.986375198703097, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 118, 'best_loss': 4.986375198703097, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 119, 'best_loss': 4.986375198703097, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 120, 'best_loss': 4.986375198703097, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 121, 'best_loss': 4.969858784631901, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 122, 'best_loss': 4.969858784631901, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 123, 'best_loss': 4.969858784631901, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 124, 'best_loss': 4.969858784631901, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 125, 'best_loss': 4.969858784631901, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 126, 'best_loss': 4.954533912863349, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 127, 'best_loss': 4.954533912863349, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 128, 'best_loss': 4.954533912863349, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 129, 'best_loss': 4.954533912863349, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 130, 'best_loss': 4.954533912863349, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 131, 'best_loss': 4.940358956148005, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 132, 'best_loss': 4.940358956148005, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 133, 'best_loss': 4.940358956148005, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 134, 'best_loss': 4.940358956148005, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 135, 'best_loss': 4.940358956148005, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 136, 'best_loss': 4.927285221608899, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 137, 'best_loss': 4.927285221608899, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 138, 'best_loss': 4.927285221608899, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 139, 'best_loss': 4.927285221608899, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 140, 'best_loss': 4.927285221608899, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 141, 'best_loss': 4.9152495874424895, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 142, 'best_loss': 4.9152495874424895, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 143, 'best_loss': 4.9152495874424895, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 144, 'best_loss': 4.9152495874424895, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 145, 'best_loss': 4.9152495874424895, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 146, 'best_loss': 4.904177613499772, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 147, 'best_loss': 4.904177613499772, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 148, 'best_loss': 4.904177613499772, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 149, 'best_loss': 4.904177613499772, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 150, 'best_loss': 4.904177613499772, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 151, 'best_loss': 4.8939854427488845, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 152, 'best_loss': 4.8939854427488845, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 153, 'best_loss': 4.8939854427488845, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 154, 'best_loss': 4.8939854427488845, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 155, 'best_loss': 4.8939854427488845, 'stopping': 'practical plateau; no update ceiling'}
