preparing full model training {}
drone_nominal {'delay_s': 0.0, 'windows': 81}
cable_residual {'update': 24, 'best_loss': 0.9030054473634327, 'stopping': 'practical plateau; no update ceiling'}
cable_residual {'update': 25, 'best_loss': 0.9030054473634327, 'stopping': 'practical plateau; no update ceiling'}
cable_residual {'update': 26, 'best_loss': 0.8977561287060477, 'stopping': 'practical plateau; no update ceiling'}
cable_residual {'update': 27, 'best_loss': 0.8977561287060477, 'stopping': 'practical plateau; no update ceiling'}
cable_residual {'update': 28, 'best_loss': 0.8977561287060477, 'stopping': 'practical plateau; no update ceiling'}
cable_residual {'update': 29, 'best_loss': 0.8977561287060477, 'stopping': 'practical plateau; no update ceiling'}
cable_residual {'update': 30, 'best_loss': 0.8977561287060477, 'stopping': 'practical plateau; no update ceiling'}
cable_residual {'update': 31, 'best_loss': 0.8977561287060477, 'stopping': 'practical plateau; no update ceiling'}
cable_residual {'update': 32, 'best_loss': 0.8977561287060477, 'stopping': 'practical plateau; no update ceiling'}
cable_residual {'update': 33, 'best_loss': 0.8977561287060477, 'stopping': 'practical plateau; no update ceiling'}
cable_residual {'update': 34, 'best_loss': 0.8977561287060477, 'stopping': 'practical plateau; no update ceiling'}
cable_residual {'update': 35, 'best_loss': 0.8977561287060477, 'stopping': 'practical plateau; no update ceiling'}
cable_residual {'update': 36, 'best_loss': 0.8919270619024013, 'stopping': 'practical plateau; no update ceiling'}
cable_residual {'update': 37, 'best_loss': 0.8919270619024013, 'stopping': 'practical plateau; no update ceiling'}
cable_residual {'update': 38, 'best_loss': 0.8919270619024013, 'stopping': 'practical plateau; no update ceiling'}
cable_residual {'update': 39, 'best_loss': 0.8919270619024013, 'stopping': 'practical plateau; no update ceiling'}
cable_residual {'update': 40, 'best_loss': 0.8919270619024013, 'stopping': 'practical plateau; no update ceiling'}
cable_residual {'update': 41, 'best_loss': 0.8902076952676969, 'stopping': 'practical plateau; no update ceiling'}
cable_residual {'update': 42, 'best_loss': 0.8902076952676969, 'stopping': 'practical plateau; no update ceiling'}
cable_residual {'update': 43, 'best_loss': 0.8902076952676969, 'stopping': 'practical plateau; no update ceiling'}
cable_residual {'update': 44, 'best_loss': 0.8902076952676969, 'stopping': 'practical plateau; no update ceiling'}
cable_residual {'update': 45, 'best_loss': 0.8902076952676969, 'stopping': 'practical plateau; no update ceiling'}
cable_residual {'update': 46, 'best_loss': 0.8863631584963106, 'stopping': 'practical plateau; no update ceiling'}
cable_residual {'update': 47, 'best_loss': 0.8863631584963106, 'stopping': 'practical plateau; no update ceiling'}
cable_residual {'update': 48, 'best_loss': 0.8863631584963106, 'stopping': 'practical plateau; no update ceiling'}
cable_residual {'update': 49, 'best_loss': 0.8863631584963106, 'stopping': 'practical plateau; no update ceiling'}
cable_residual {'update': 50, 'best_loss': 0.8863631584963106, 'stopping': 'practical plateau; no update ceiling'}
cable_residual {'update': 51, 'best_loss': 0.8848073228939223, 'stopping': 'practical plateau; no update ceiling'}
cable_residual {'update': 52, 'best_loss': 0.8848073228939223, 'stopping': 'practical plateau; no update ceiling'}
cable_residual {'update': 53, 'best_loss': 0.8848073228939223, 'stopping': 'practical plateau; no update ceiling'}
