Evaluating frozen parent before any update {}
combined validation M6
[W915 19:28:16.000000000 Context.cpp:448] Warning: torch.backends.cuda.preferred_linalg_library is an experimental feature. If you see any error or unexpected behavior when this flag is set please file an issue on GitHub. (function operator ())
preparing full model training {}
drone_nominal {'delay_s': 0.0, 'windows': 81}
drone_residual {'update': 24, 'best_loss': 3.4116286563192575, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 25, 'best_loss': 3.4116286563192575, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 26, 'best_loss': 3.39804072858978, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 27, 'best_loss': 3.39804072858978, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 28, 'best_loss': 3.39804072858978, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 29, 'best_loss': 3.39804072858978, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 30, 'best_loss': 3.39804072858978, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 31, 'best_loss': 3.388461683489579, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 32, 'best_loss': 3.388461683489579, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 33, 'best_loss': 3.388461683489579, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 34, 'best_loss': 3.388461683489579, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 35, 'best_loss': 3.388461683489579, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 36, 'best_loss': 3.3812535567211617, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 37, 'best_loss': 3.3812535567211617, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 38, 'best_loss': 3.3812535567211617, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 39, 'best_loss': 3.3812535567211617, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 40, 'best_loss': 3.3812535567211617, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 41, 'best_loss': 3.374924016196585, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 42, 'best_loss': 3.374924016196585, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 43, 'best_loss': 3.374924016196585, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 44, 'best_loss': 3.374924016196585, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 45, 'best_loss': 3.374924016196585, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 46, 'best_loss': 3.3686484005224124, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 47, 'best_loss': 3.3686484005224124, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 48, 'best_loss': 3.3686484005224124, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 49, 'best_loss': 3.3686484005224124, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 50, 'best_loss': 3.3686484005224124, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 51, 'best_loss': 3.362834745104142, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 52, 'best_loss': 3.362834745104142, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 53, 'best_loss': 3.362834745104142, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 54, 'best_loss': 3.362834745104142, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 55, 'best_loss': 3.362834745104142, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 56, 'best_loss': 3.357451197695269, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 57, 'best_loss': 3.357451197695269, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 58, 'best_loss': 3.357451197695269, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 59, 'best_loss': 3.357451197695269, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 60, 'best_loss': 3.357451197695269, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 61, 'best_loss': 3.352388498887055, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 62, 'best_loss': 3.352388498887055, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 63, 'best_loss': 3.352388498887055, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 64, 'best_loss': 3.352388498887055, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 65, 'best_loss': 3.352388498887055, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 66, 'best_loss': 3.3475087208463004, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 67, 'best_loss': 3.3475087208463004, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 68, 'best_loss': 3.3475087208463004, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 69, 'best_loss': 3.3475087208463004, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 70, 'best_loss': 3.3475087208463004, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 71, 'best_loss': 3.3427665415026078, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 72, 'best_loss': 3.3427665415026078, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 73, 'best_loss': 3.3427665415026078, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 74, 'best_loss': 3.3427665415026078, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 75, 'best_loss': 3.3427665415026078, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 76, 'best_loss': 3.3381201245618106, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 77, 'best_loss': 3.3381201245618106, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 78, 'best_loss': 3.3381201245618106, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 79, 'best_loss': 3.3381201245618106, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 80, 'best_loss': 3.3381201245618106, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 81, 'best_loss': 3.333560870393077, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 82, 'best_loss': 3.333560870393077, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 83, 'best_loss': 3.333560870393077, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 84, 'best_loss': 3.333560870393077, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 85, 'best_loss': 3.333560870393077, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 86, 'best_loss': 3.32909798718494, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 87, 'best_loss': 3.32909798718494, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 88, 'best_loss': 3.32909798718494, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 89, 'best_loss': 3.32909798718494, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 90, 'best_loss': 3.32909798718494, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 91, 'best_loss': 3.3247282964236744, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 92, 'best_loss': 3.3247282964236744, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 93, 'best_loss': 3.3247282964236744, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 94, 'best_loss': 3.3247282964236744, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 95, 'best_loss': 3.3247282964236744, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 96, 'best_loss': 3.3204378468299174, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 97, 'best_loss': 3.3204378468299174, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 98, 'best_loss': 3.3204378468299174, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 99, 'best_loss': 3.3204378468299174, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 100, 'best_loss': 3.3204378468299174, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 101, 'best_loss': 3.3162148823294397, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 102, 'best_loss': 3.3162148823294397, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 103, 'best_loss': 3.3162148823294397, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 104, 'best_loss': 3.3162148823294397, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 105, 'best_loss': 3.3162148823294397, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 106, 'best_loss': 3.312052007111636, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 107, 'best_loss': 3.312052007111636, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 108, 'best_loss': 3.312052007111636, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 109, 'best_loss': 3.312052007111636, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 110, 'best_loss': 3.312052007111636, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 111, 'best_loss': 3.307944213978132, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 112, 'best_loss': 3.307944213978132, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 113, 'best_loss': 3.307944213978132, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 114, 'best_loss': 3.307944213978132, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 115, 'best_loss': 3.307944213978132, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 116, 'best_loss': 3.303886936132643, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 117, 'best_loss': 3.303886936132643, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 118, 'best_loss': 3.303886936132643, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 119, 'best_loss': 3.303886936132643, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 120, 'best_loss': 3.303886936132643, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 121, 'best_loss': 3.2998758973649758, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 122, 'best_loss': 3.2998758973649758, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 123, 'best_loss': 3.2998758973649758, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 124, 'best_loss': 3.2998758973649758, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 125, 'best_loss': 3.2998758973649758, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 126, 'best_loss': 3.29590753703257, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 127, 'best_loss': 3.29590753703257, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 128, 'best_loss': 3.29590753703257, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 129, 'best_loss': 3.29590753703257, 'stopping': 'practical plateau; no update ceiling'}
